Time	Desired_X	Desired_Y	Desired_V_head	Desired_V_lat	Desired_Theta	Desired_Theta_dot
1627951168.92	-1.84316643937	-3.29024050842	0.404831	0.0	2.80243249069	-2.29407184139
1627951168.94	-1.85406405238	-3.28667456931	0.431731	0.0	2.72570676881	-3.51105753118
1627951168.96	-1.8611639754	-3.28383912367	0.42416	0.0	2.67932132078	-2.48284352448
1627951168.98	-1.86806711711	-3.28066675921	0.421789	0.0	2.63227225213	-2.61964067785
1627951169.0	-1.87451820672	-3.27730540619	0.413059	0.0	2.58069413504	-2.30767369628
1627951169.02	-1.87764489562	-3.27552933941	0.408773	0.0	2.55689168752	-1.13262948615
1627951169.04	-1.88663243829	-3.26984405674	0.401147	0.0	2.48528412443	-3.23169279037
1627951169.06	-1.8924325206	-3.26567438832	0.393827	0.0	2.44099860161	-2.26967287226
1627951169.08	-1.8975573346	-3.26162350888	0.393178	0.0	2.39842973965	-2.09755333808
1627951169.11	-1.90507519924	-3.25497478287	0.386354	0.0	2.32672836179	-2.88869381965
1627951169.12	-1.90972703918	-3.25037856594	0.396345	0.0	2.28721825734	-2.09304751461
1627951169.14	-1.91425972749	-3.24548745441	0.403377	0.0	2.24451423661	-2.24716518655
1627951169.17	-1.91641916927	-3.24299615303	0.396396	0.0	2.22433965401	-1.12972001617
1627951169.19	-1.92249036428	-3.23534244297	0.399676	0.0	2.15136111127	-2.92070086653
1627951169.21	-1.92622513445	-3.23007208794	0.399557	0.0	2.11138220343	-2.03989443672
1627951169.23	-1.92978874545	-3.22454958012	0.400959	0.0	2.06868206581	-2.13300220827
1627951169.25	-1.93307007593	-3.21894268432	0.396242	0.0	2.02146331038	-1.94665131428
1627951169.28	-1.93608493753	-3.2132400887	0.407152	0.0	1.977951947	-1.96504242044
1627951169.3	-1.93866492156	-3.20782798085	0.374701	0.0	1.94099435444	-1.7541359269
1627951169.32	-1.94211288859	-3.19955724461	0.395628	0.0	1.88254508541	-2.85637718264
1627951169.34	-1.94400395769	-3.19432055462	0.394699	0.0	1.84381934066	-1.70377391887
1627951169.36	-1.94577658109	-3.18875856323	0.387012	0.0	1.80849409289	-1.89889506066
1627951169.38	-1.94725189887	-3.18344176646	0.392868	0.0	1.76391912779	-1.56293456454
1627951169.4	-1.94857246072	-3.17788281292	0.397963	0.0	1.72926289502	-1.75665743534
1627951169.42	-1.94968438418	-3.17225495513	0.39742	0.0	1.69603149727	-1.93195735465
1627951169.45	-1.9505618483	-3.16672141959	0.396483	0.0	1.65768324307	-1.85192774635
1627951169.47	-1.95146159647	-3.15869768402	0.407724	0.0	1.59789159643	-2.45387562173
1627951169.49	-1.95182589199	-3.1532251013	0.416909	0.0	1.56406780484	-1.79573249033
1627951169.51	-1.95199007103	-3.14772585996	0.394286	0.0	1.52918283225	-1.76084823019
1627951169.53	-1.952	-3.136	0.416949	0.0	1.57079632679	-0.430355246394
1627951169.55	-1.952	-3.13398	0.382808	0.0	1.57079632679	0.0
1627951169.57	-1.952	-3.126844	0.419958	0.0	1.57079632679	0.0
